soil_moisture,temperature,humidity,label
22,29.7,77.6,1
24,29.7,78.4,1
26,29.6,78.2,1
28,29.6,78.5,1
30,29.6,78.4,1
32,29.6,78.7,1
34,29.6,78.5,1
36,29.6,78.3,1
38,29.6,78.1,1
40,29.5,78.1,1
42,29.5,77.9,1
44,29.5,78.1,1
46,29.5,77.9,1
48,29.5,77.7,1
50,29.4,76.5,1
52,29.4,77,1
54,29.4,77.1,1
56,29.4,76.8,1
58,29.4,76.9,1
46,29.5,77.1,1
100,29.5,77.1,0
100,29.5,76.7,0
100,29.5,76.4,0
100,29.5,76.4,0
100,29.5,76.6,0
100,29.5,76.4,0
70,29.5,76.7,1
54,29.4,76.6,1
50,29.4,76.2,1
100,29.4,75.9,0
100,29.4,75.9,0
100,29.4,75.8,0
51,29.4,76.1,1
56,29.4,76.3,1
60,29.4,76.5,1
57,29.4,76.7,1
59,29.5,76.5,1
60,29.5,76.6,1
58,29.5,76.4,1
56,29.5,76.1,1
5,29.5,75.4,1
-8,29.5,75.2,1
-10,29.4,75.2,1
-3,29.4,75.3,1
-12,29.4,75.4,1
0,29.5,75.2,1
2,29.5,75.2,1
-1,29.5,75.1,1
-2,29.5,75.5,1
100,29.5,75.5,0
103,29.5,75.6,0
105,29.5,75.6,0
95,29.5,76,0
97,29.5,76,0
96,29.5,76.1,0
0,29.5,75.9,1
88,29.5,75.9,2
82,29.5,75.8,2
0,29.5,76,1
0,29.5,76,1
0,29.5,75.9,1
0,29.5,75.9,1
83,29.5,75.8,2
74,29.6,75.8,2
77,29.5,75.7,2
76,29.6,75.6,2
76,29.6,75.6,2
77,29.6,75.8,2
79,29.6,75.7,2
99,29.6,75.7,0
91,29.6,75.8,2
75,29.6,75.9,1
0,29.6,75.8,1
76,29.6,75.7,1
74,29.6,75.8,1
74,29.6,75.9,1
75,29.6,76.1,1
74,29.6,76.5,1
75,29.6,76.7,1
75,29.6,76.8,1
76,29.6,76.7,1
77,29.6,76.6,1
79,29.6,76.6,1
81,29.6,76.7,2
83,29.6,76.7,2
86,29.6,76.7,2
90,29.6,76.6,2
94,29.5,76.6,0
97,29.5,76.8,0
100,29.5,77.1,0
105,29.5,77.2,0
104,29.5,77.3,0
106,29.5,77.3,0
102,29.5,77,0
105,29.5,76.9,0
101,29.5,76.9,0
100,29.5,77,0
99,29.5,77,0
103,29.5,77.1,0
106,29.4,77.1,0
106,29.4,77.1,0
107,29.4,77.2,0
110,29.4,77.2,0
109,29.4,77.3,0
110,29.4,77.4,0
115,29.4,77.3,0
113,29.4,77.5,0
112,29.4,77.6,0
114,29.4,77.6,0
120,29.4,77.6,0
114,29.4,77.6,0
122,29.4,77.6,0
121,29.4,77.8,0
121,29.4,77.6,0
123,29.4,77.6,0
124,29.4,77.5,0
123,29.4,77.4,0
108,29.4,77.4,0
110,29.4,77.6,0
112,29.4,77.8,0
117,29.3,77.9,0
120,29.4,77.6,0
122,29.3,77.6,0
122,29.4,77.7,0
123,29.4,77.7,0
124,29.4,77.8,0
124,29.4,78,0
124,29.4,78,0
124,29.4,77.9,0
125,29.4,77.8,0
125,29.4,77.8,0
125,29.4,78,0
124,29.4,78.1,0
125,29.5,78,0
125,29.5,78.1,0
125,29.5,78.1,0
125,29.5,78,0
125,29.5,78,0
124,29.5,78.1,0
126,29.5,78.1,0
127,29.5,77.8,0
127,29.5,77.7,0
127,29.5,77.9,0
127,29.5,78,0
127,29.5,78.1,0
128,29.5,77.9,0
128,29.5,78,0
128,29.6,78.2,0
129,29.6,78,0
129,29.6,78.2,0
130,29.6,78.4,0
130,29.7,78,0
130,29.7,77.8,0
129,29.7,77.3,0
131,29.8,77.4,0
131,29.8,77.3,0
132,29.8,77,0
131,29.8,76.9,0
132,29.8,76.6,0
132,29.9,76.4,0
131,29.9,76.4,0
128,29.9,76.2,0
129,29.9,76.2,0
131,29.9,76.5,0
131,29.9,76.6,0
132,29.9,76.3,0
132,29.9,76.1,0
105,29.2,78.5,0
115,29.4,77.4,0
116,29.5,77,0
117,29.6,76.7,0
117,29.6,76.3,0
117,29.6,76.2,0
118,29.6,76,0
102,29.6,76.2,0
99,29.6,76.2,0
0,29.7,76.2,0
0,29.7,76.2,0
0,29.7,76.2,0
0,29.7,76.1,0
99,29.7,76.2,0
96,29.7,76.1,0
95,29.7,75.9,0
94,29.7,75.7,0
94,29.7,75.7,0
94,29.8,75.5,0
94,29.8,75.5,0
0,29.8,75.8,1
100,29.8,75.7,0
96,29.8,75.7,0
0,29.8,75.8,1
0,29.8,75.7,1
0,29.8,75.6,1
0,29.8,75.5,1
0,29.8,75.4,1
0,29.8,75.5,1
0,29,78.5,1
101,29.3,78.3,0
92,29.4,77.8,2
92,29.5,77.3,2
91,29.5,77.2,2
0,28.4,76.5,1
0,28.7,75.8,1
0,28.9,75,1
0,29,74.4,1
0,29.1,74,1
0,29.2,73.6,1
0,29.2,73.4,1
0,29.3,73.2,1
0,29.3,73.1,1
0,29.3,73,1
0,29.4,72.9,1
0,29.4,72.9,1
0,29.4,72.7,1
0,29.4,72.7,1
0,29.4,72.6,1
0,29.5,72.7,1
0,29.5,72.7,1
0,29.5,72.6,1
0,29.5,72.6,1
0,29.5,72.5,1
0,29.5,72.5,1
242,29.5,72.5,0
0,1,1,1
0,31.3,83,1
0,31.5,81.7,1
0,31.7,80.8,1
0,31.8,80,1
0,31.9,79.4,1
0,31.9,78.9,1
195,32,78.6,0
167,32,78.5,0
170,32,78.3,0
163,31.9,78.1,0
242,31.9,78,0
0,31.9,78,1
242,31.9,77.9,0
200,31.9,77.9,0
0,31.9,77.9,1
0,31.9,77.8,1
242,31.9,77.7,0
187,31.9,77.6,0
184,31.9,77.6,0
179,31.9,77.4,0
158,31.9,77.4,0
172,31.9,77.4,0
176,31.9,77.4,0
203,31.9,77.3,0
199,31.9,77.5,0
155,31.8,77.3,0
182,31.9,77.1,0
0,31.8,77.1,1
0,31.8,77.1,1
125,31.8,77,0
225,31.8,77.2,0
242,31.8,76.9,0
143,31.8,76.6,0
242,31.8,76.7,0
210,31.8,76.7,0
242,31.7,76.8,0
128,31.7,76.8,0
138,31.7,76.9,0
192,31.6,77,0
134,31.6,77.1,0
242,31.6,77.1,0
155,31.5,77.1,0
134,31.5,77.1,0
242,31.5,77.3,0
242,31.5,77.3,0
0,31.5,77.3,1
207,31.5,77.3,0
188,31.4,77.7,0
182,31.4,77.6,0
178,31.5,77.6,0
175,31.4,77.3,0
172,31.4,77.3,0
169,31.4,77.2,0
0,31.4,77.3,1
0,31.4,77.3,1
0,31.4,77.4,1
0,31.4,77.5,1
0,31.4,77.5,1
0,31.3,77.6,1
0,31.3,77.6,1
175,31.3,77.5,0
164,31.3,77.5,0
160,31.3,77.6,0
158,31.3,77.6,0
156,31.3,77.5,0
23,31.3,77.6,1
24,31.3,77.6,1
25,31.3,77.7,1
26,31.3,77.7,1
27,31.3,77.6,1
28,31.3,77.5,1
29,31.3,77.5,1
30,31.3,77.5,1
31,31.3,77.4,1
32,31.3,77.4,1
33,31.3,77.3,1
34,31.3,77.5,1
162,31.2,77.5,0
155,31.3,77.5,0
154,31.3,77.5,0
153,31.3,77.5,0
23,31.2,77.5,1
154,31.3,77.4,0
153,31.3,77.3,0
44,1,1,1
44,30.1,80.9,1
44,30.3,80.5,1
44,30.3,80.4,1
170,30.7,78.7,0
154,30.8,78.5,0
153,30.9,78.3,0
152,30.9,78.1,0
152,30.9,77.6,0
43,30.9,77.4,1
152,31,77.5,0
152,31,77.4,0
151,31,77.4,0
98,31,77.4,0
47,31.1,77.5,1
